 240  18:39:33  22/08/03        doc op - C:\mythos\gpg4_sample\levels\objects_old.xml loaded from [objects_old.xml000]       554  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 239  18:39:33  22/08/03         3d op - display view from [default camera]                                                  357  C:\mythos\gpg4_sample\3DView.cpp
 238  18:39:33  22/08/03       warning - unmatched property [Depth]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 237  18:39:33  22/08/03       warning - unmatched property [Height]                                                         984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 236  18:39:33  22/08/03       warning - unmatched property [Width]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 235  18:39:33  22/08/03     data file - class: CEngineTexture  id: 0x16D0240                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 234  18:39:33  22/08/03       warning - unmatched property [TexOp]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 233  18:39:33  22/08/03       warning - unmatched property [Texture]                                                        984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 232  18:39:33  22/08/03     data file - class: CEngineMaterial  id: 0x16D0400                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 231  18:39:33  22/08/03     data file - class: CEditorTexture  id: 0x16D0530                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 230  18:39:33  22/08/03       warning - unmatched property [TexOp]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 229  18:39:33  22/08/03       warning - unmatched property [Texture]                                                        984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 228  18:39:33  22/08/03     data file - class: CEngineMaterial  id: 0x16D06D0                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 227  18:39:33  22/08/03       warning - unmatched property [TexOp]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 226  18:39:33  22/08/03       warning - unmatched property [Texture]                                                        984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 225  18:39:33  22/08/03     data file - class: CEngineMaterial  id: 0x16D0860                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 224  18:39:33  22/08/03       warning - unmatched property [TexOp]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 223  18:39:33  22/08/03       warning - unmatched property [Texture]                                                        984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 222  18:39:33  22/08/03     data file - class: CEngineMaterial  id: 0x16D0A20                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 221  18:39:33  22/08/03     data file - class: CEngineBox  id: 0x16D0BD0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 220  18:39:33  22/08/03     data file - class: CEngineBox  id: 0x16D0E30                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 219  18:39:33  22/08/03     data file - class: CEngineBox  id: 0x16CF640                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 218  18:39:33  22/08/03       warning - unmatched property [TexOp]                                                          984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 217  18:39:33  22/08/03       warning - unmatched property [Texture]                                                        984  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 216  18:39:33  22/08/03     data file - class: CEngineMaterial  id: 0x16CF8B0                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 215  18:39:33  22/08/03     data file - class: CEditorSphere  id: 0x16CF9E0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 214  18:39:33  22/08/03     data file - class: CEditorBox  id: 0x16CFB10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 213  18:39:33  22/08/03     data file - class: CEditorSphere  id: 0x16CFC40                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 212  18:39:33  22/08/03     data file - class: CEditorCamera  id: 0x16CFD70                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 211  18:39:33  22/08/03     data file - class: CEditorBox  id: 0x16CFED0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 210  18:39:33  22/08/03     data file - class: CEditorBox  id: 0x16CE020                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 209  18:39:33  22/08/03     data file - class: CEditorMaterial  id: 0x16CE180                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 208  18:39:33  22/08/03     data file - class: CEditorMaterial  id: 0x16CE290                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 207  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CE390                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 206  18:39:33  22/08/03     data file - class: CEditorMaterial  id: 0x16CE530                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 205  18:39:33  22/08/03     data file - class: CEditorMaterial  id: 0x16CE670                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 204  18:39:33  22/08/03     data file - class: CEditorMaterial  id: 0x16CE780                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 203  18:39:33  22/08/03     data file - class: CEngineSphere  id: 0x16CEA30                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 202  18:39:33  22/08/03     data file - class: CEngineSphere  id: 0x16CEC90                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 201  18:39:33  22/08/03     data file - class: CEngineCamera  id: 0x16CEE90                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 200  18:39:33  22/08/03     data file - class: CEngineCamera  id: 0x16CD0E0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 199  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD2E0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 198  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD440                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 197  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD5A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 196  18:39:33  22/08/03     data file - class: CEditorSceneItem  id: 0x16CD700                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
