 452  17:04:29  25/08/03        doc op - C:\mythos\gpg4_sample\levels\pacman.xml loaded from [pacman.xml022]                 554  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 451  17:04:29  25/08/03         3d op - display view from [default camera]                                                  357  C:\mythos\gpg4_sample\3DView.cpp
 450  17:04:29  25/08/03     data file - class: CEngineTexture  id: 0x16C76E0                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 449  17:04:29  25/08/03     data file - class: CEngineTexture  id: 0x16DDB00                                                766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 448  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CDDF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 447  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C83C0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 446  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C8920                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 445  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C8B00                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 444  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CA230                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 443  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CC060                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 442  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CB060                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 441  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C75D0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 440  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16C4B30                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 439  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CF370                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 438  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CC9A0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 437  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CEE50                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 436  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16CF930                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 435  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16EF9B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 434  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16EC3C0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 433  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16EEFA0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 432  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16EE360                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 431  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0750                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 430  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0880                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 429  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E09B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 428  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0AE0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 427  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0C10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 426  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0D40                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 425  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0E70                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 424  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16E0FA0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 423  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D7170                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 422  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF2D0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 421  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF400                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 420  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF530                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 419  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF660                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 418  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF790                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 417  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF8C0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 416  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DF9F0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 415  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DFB20                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 414  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DFC50                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 413  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DFD80                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 412  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DFEB0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 411  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DFFA0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 410  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE130                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 409  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE260                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 408  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE390                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 407  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16DE4C0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
